"id","puzzle","question","choices","answer","created_at"
"lgp-test-6x4-37#mc-16","There are 6 houses, numbered 1 to 6 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Arnold`, `Peter`, `Eric`, `Alice`, `Bob`, `Carol`
 - People have unique favorite book genres: `biography`, `science fiction`, `fantasy`, `mystery`, `romance`, `historical fiction`
 - People have unique favorite sports: `baseball`, `basketball`, `swimming`, `volleyball`, `tennis`, `soccer`
 - People own unique car models: `honda civic`, `ford f150`, `tesla model 3`, `chevrolet silverado`, `bmw 3 series`, `toyota camry`

## Clues:
1. Eric is the person who loves mystery books.
2. The person who loves tennis is the person who loves fantasy books.
3. The person who loves soccer is directly left of the person who loves science fiction books.
4. There is one house between the person who owns a Honda Civic and the person who loves biography books.
5. Peter is somewhere to the right of Carol.
6. The person who loves tennis is in the first house.
7. The person who owns a Tesla Model 3 is somewhere to the right of the person who loves baseball.
8. Eric is somewhere to the left of the person who loves romance books.
9. The person who owns a Toyota Camry is somewhere to the right of the person who loves romance books.
10. The person who owns a BMW 3 Series is Peter.
11. The person who owns a BMW 3 Series is the person who loves basketball.
12. The person who owns a Tesla Model 3 is directly left of Arnold.
13. Alice and the person who loves volleyball are next to each other.
14. The person who loves historical fiction books is the person who loves soccer.
15. The person who owns a Chevrolet Silverado is not in the first house.
16. The person who loves science fiction books is directly left of the person who loves swimming.
","What is Name of the person who lives in House 5?","['Eric','Bob','Alice','Peter','Carol','Arnold']","Bob","2024-07-03T21:21:31.375234"
"lgp-test-3x6-15#mc-13","There are 3 houses, numbered 1 to 3 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Eric`, `Peter`, `Arnold`
 - Each person has a unique level of education: `associate`, `high school`, `bachelor`
 - Each person prefers a unique type of vacation: `city`, `beach`, `mountain`
 - People have unique favorite music genres: `classical`, `rock`, `pop`
 - Each person has an occupation: `engineer`, `doctor`, `teacher`
 - People have unique favorite sports: `tennis`, `basketball`, `soccer`

## Clues:
1. Peter is in the first house.
2. The person with a high school diploma is directly left of the person who loves beach vacations.
3. The person who is a doctor is not in the third house.
4. The person who loves rock music and the person who loves pop music are next to each other.
5. The person who is a teacher is the person who enjoys mountain retreats.
6. Peter is the person with a bachelor's degree.
7. The person who prefers city breaks is the person who loves rock music.
8. The person who loves basketball is the person who enjoys mountain retreats.
9. Eric is in the third house.
10. The person with a bachelor's degree is the person who loves tennis.
","What is Education of the person who lives in House 3?","['associate','high school','bachelor']","associate","2024-07-03T21:21:31.316147"
"lgp-test-4x6-24#mc-9","There are 4 houses, numbered 1 to 4 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Arnold`, `Eric`, `Peter`, `Alice`
 - The mothers' names in different houses are unique: `Holly`, `Janelle`, `Kailyn`, `Aniya`
 - The people are of nationalities: `dane`, `norwegian`, `brit`, `swede`
 - People have unique favorite book genres: `science fiction`, `romance`, `fantasy`, `mystery`
 - The people keep unique animals: `fish`, `cat`, `bird`, `horse`
 - People have unique hair colors: `black`, `blonde`, `red`, `brown`

## Clues:
1. The Swedish person is the person who has black hair.
2. The bird keeper is in the first house.
3. Arnold is the person who loves fantasy books.
4. The person who loves science fiction books is not in the second house.
5. The British person and Arnold are next to each other.
6. The bird keeper is the person who has red hair.
7. The person who keeps horses is Peter.
8. The person who has black hair is the person who loves romance books.
9. The person whose mother's name is Kailyn is Arnold.
10. The Swedish person is The person whose mother's name is Janelle.
11. The person who has blonde hair is in the third house.
12. Alice is The person whose mother's name is Aniya.
13. The Swedish person is the fish enthusiast.
14. Arnold is directly left of the person who has black hair.
15. The Norwegian is not in the first house.
","What is BookGenre of the person who lives in House 2?","['science fiction','mystery','romance','fantasy']","mystery","2024-07-03T21:21:31.335059"
"lgp-test-5x5-18#mc-0","There are 5 houses, numbered 1 to 5 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Bob`, `Alice`, `Arnold`, `Peter`, `Eric`
 - The mothers' names in different houses are unique: `Penny`, `Aniya`, `Kailyn`, `Janelle`, `Holly`
 - The people keep unique animals: `cat`, `bird`, `dog`, `fish`, `horse`
 - Everyone has a favorite smoothie: `desert`, `dragonfruit`, `cherry`, `watermelon`, `lime`
 - Each person has an occupation: `doctor`, `engineer`, `artist`, `teacher`, `lawyer`

## Clues:
1. Bob is the Desert smoothie lover.
2. The cat lover is the person who is an engineer.
3. The person whose mother's name is Penny is the bird keeper.
4. The person who is a lawyer is the fish enthusiast.
5. The person who likes Cherry smoothies is directly left of Alice.
6. The Watermelon smoothie lover and the person who is an engineer are next to each other.
7. The person whose mother's name is Holly is the dog owner.
8. The person who is a teacher is in the first house.
9. The person whose mother's name is Penny is in the second house.
10. The person who drinks Lime smoothies is the person who is a doctor.
11. The person whose mother's name is Janelle is the person who is a lawyer.
12. Arnold is not in the third house.
13. The Dragonfruit smoothie lover is directly left of Peter.
14. The person whose mother's name is Kailyn is the Dragonfruit smoothie lover.
15. Arnold is somewhere to the right of Peter.
16. The dog owner is not in the fifth house.
17. The Watermelon smoothie lover is somewhere to the left of the Desert smoothie lover.
","What is Name of the person who lives in House 1?","['Peter','Bob','Arnold','Eric','Alice']","Eric","2024-07-03T21:21:31.350746"
"lgp-test-4x2-35#mc-0","There are 4 houses, numbered 1 to 4 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Alice`, `Eric`, `Peter`, `Arnold`
 - The people are of nationalities: `swede`, `dane`, `norwegian`, `brit`

## Clues:
1. Eric is in the second house.
2. The Swedish person is in the first house.
3. The Dane is Arnold.
4. The British person is Alice.
5. Alice is in the third house.
","What is Name of the person who lives in House 1?","['Eric','Arnold','Alice','Peter']","Peter","2024-07-03T21:21:31.319814"
"lgp-test-5x2-24#mc-1","There are 5 houses, numbered 1 to 5 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Peter`, `Bob`, `Arnold`, `Eric`, `Alice`
 - Everyone has a favorite smoothie: `desert`, `dragonfruit`, `cherry`, `lime`, `watermelon`

## Clues:
1. The Watermelon smoothie lover is somewhere to the right of the Dragonfruit smoothie lover.
2. The Dragonfruit smoothie lover is somewhere to the right of Eric.
3. The Desert smoothie lover is somewhere to the right of the Dragonfruit smoothie lover.
4. The Watermelon smoothie lover is not in the fourth house.
5. Alice is the Dragonfruit smoothie lover.
6. Peter is in the first house.
7. Arnold is the Desert smoothie lover.
8. The person who drinks Lime smoothies is not in the first house.
","What is Smoothie of the person who lives in House 1?","['lime','cherry','desert','dragonfruit','watermelon']","cherry","2024-07-03T21:21:31.338848"
"lgp-test-4x5-23#mc-19","There are 4 houses, numbered 1 to 4 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Peter`, `Eric`, `Arnold`, `Alice`
 - People have unique favorite music genres: `pop`, `classical`, `jazz`, `rock`
 - Each person has a unique hobby: `cooking`, `gardening`, `painting`, `photography`
 - Each person has a unique level of education: `master`, `associate`, `high school`, `bachelor`
 - Each person has a unique type of pet: `fish`, `bird`, `dog`, `cat`

## Clues:
1. The person who loves classical music is not in the fourth house.
2. Arnold is the person with a master's degree.
3. Alice is the person who owns a dog.
4. The person who enjoys gardening is not in the third house.
5. The person with a bachelor's degree is Alice.
6. Alice is the photography enthusiast.
7. Arnold is directly left of the person who loves pop music.
8. The person with an associate's degree is directly left of the photography enthusiast.
9. The person who loves rock music is the person who loves cooking.
10. The person with an associate's degree is Eric.
11. The person who has a cat is the person who loves jazz music.
12. Arnold is somewhere to the right of the person with an aquarium of fish.
","What is Pet of the person who lives in House 4?","['fish','cat','bird','dog']","bird","2024-07-03T21:21:31.328595"
"lgp-test-5x3-34#mc-5","There are 5 houses, numbered 1 to 5 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Eric`, `Arnold`, `Bob`, `Peter`, `Alice`
 - Everyone has something unique for lunch: `spaghetti`, `stew`, `grilled cheese`, `stir fry`, `pizza`
 - Each person has a favorite color: `red`, `green`, `white`, `blue`, `yellow`

## Clues:
1. The person who loves blue is somewhere to the left of the person who is a pizza lover.
2. Bob is somewhere to the left of the person who loves white.
3. Alice is directly left of the person who loves the stew.
4. The person who loves stir fry is in the fourth house.
5. The person who loves white is Peter.
6. The person who loves the spaghetti eater is Bob.
7. The person whose favorite color is green is Alice.
8. The person who loves blue is in the third house.
9. The person who loves yellow is somewhere to the right of the person who loves stir fry.
10. Alice is in the first house.
11. The person who loves yellow is Arnold.
","What is Color of the person who lives in House 2?","['blue','yellow','white','red','green']","red","2024-07-03T21:21:31.342655"
"lgp-test-4x3-2#mc-3","There are 4 houses, numbered 1 to 4 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Arnold`, `Alice`, `Peter`, `Eric`
 - People have unique heights: `short`, `average`, `tall`, `very short`
 - People own unique car models: `honda civic`, `tesla model 3`, `toyota camry`, `ford f150`

## Clues:
1. The person who is very short is in the fourth house.
2. The person who owns a Toyota Camry is not in the second house.
3. The person who is very short is Arnold.
4. The person who owns a Toyota Camry is Peter.
5. The person who has an average height is not in the second house.
6. The person who is short is in the third house.
7. The person who is short is Eric.
8. The person who owns a Ford F-150 is not in the fourth house.
9. There is one house between the person who owns a Toyota Camry and the person who owns a Tesla Model 3.
","What is Name of the person who lives in House 2?","['Alice','Peter','Eric','Arnold']","Alice","2024-07-03T21:21:31.320129"
"lgp-test-5x2-38#mc-5","There are 5 houses, numbered 1 to 5 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Bob`, `Alice`, `Eric`, `Peter`, `Arnold`
 - People use unique phone models: `google pixel 6`, `samsung galaxy s21`, `huawei p50`, `iphone 13`, `oneplus 9`

## Clues:
1. The person who uses a Google Pixel 6 is in the fifth house.
2. Peter and the person who uses a Huawei P50 are next to each other.
3. The person who uses a Huawei P50 is directly left of Bob.
4. Arnold is not in the second house.
5. Bob is somewhere to the left of the person who uses a Samsung Galaxy S21.
6. The person who uses a OnePlus 9 is in the first house.
7. The person who uses a Samsung Galaxy S21 and Eric are next to each other.
","What is PhoneModel of the person who lives in House 3?","['google pixel 6','huawei p50','samsung galaxy s21','iphone 13','oneplus 9']","iphone 13","2024-07-03T21:21:31.339658"
