id,grid_solution,steps
test-3x3-001,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""orange"", ""turtle""], [""2"", ""Mallory"", ""blue"", ""cat""], [""3"", ""Alice"", ""green"", ""dog""]]}",5
test-3x3-002,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Bob"", ""blue"", ""dog""], [""2"", ""Niaj"", ""red"", ""fish""], [""3"", ""Unknown1"", ""orange"", ""bird""]]}",6
test-3x3-003,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Carol"", ""purple"", ""hamster""], [""2"", ""Unknown1"", ""orange"", ""rabbit""], [""3"", ""Mallory"", ""green"", ""cat""]]}",5
test-3x3-004,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Unknown1"", ""white"", ""cat""], [""2"", ""Ivan"", ""red"", ""rabbit""], [""3"", ""Heidi"", ""orange"", ""turtle""]]}",6
test-3x3-005,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Ivan"", ""blue"", ""fish""], [""2"", ""Mallory"", ""green"", ""turtle""], [""3"", ""Unknown1"", ""white"", ""cat""]]}",7
test-3x3-006,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Mallory"", ""white"", ""cat""], [""2"", ""Unknown1"", ""purple"", ""dog""], [""3"", ""Grace"", ""yellow"", ""rabbit""]]}",6
test-3x3-007,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Alice"", ""red"", ""cat""], [""2"", ""Bob"", ""yellow"", ""dog""], [""3"", ""Heidi"", ""blue"", ""turtle""]]}",6
test-3x3-008,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Alice"", ""yellow"", ""fish""], [""2"", ""Grace"", ""blue"", ""hamster""], [""3"", ""Eve"", ""white"", ""rabbit""]]}",6
test-3x3-009,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Unknown1"", ""white"", ""rabbit""], [""2"", ""Bob"", ""purple"", ""bird""], [""3"", ""Judy"", ""orange"", ""fish""]]}",6
test-3x3-010,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Eve"", ""red"", ""rabbit""], [""2"", ""Ivan"", ""orange"", ""dog""], [""3"", ""Mallory"", ""green"", ""bird""]]}",6
test-3x3-011,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Carol"", ""blue"", ""cat""], [""2"", ""Unknown1"", ""red"", ""fish""], [""3"", ""Niaj"", ""purple"", ""turtle""]]}",6
test-3x3-012,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""David"", ""blue"", ""dog""], [""2"", ""Niaj"", ""yellow"", ""bird""], [""3"", ""Unknown1"", ""orange"", ""turtle""]]}",6
test-3x3-013,"{""header"": [""House"", ""Name"", ""Color"", ""Pet""], ""rows"": [[""1"", ""Frank"", ""orange"", ""bird""], [""2"", ""Grace"", ""blue"", ""dog""], [""3"", ""Bob"", ""purple"", ""rabbit""]]}",6
