id,size,puzzle,solution,created_at
lgp-test-5x6-16,5*6,"There are 5 houses, numbered 1 to 5 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Peter`, `Alice`, `Bob`, `Eric`, `Arnold`
 - The people are of nationalities: `norwegian`, `german`, `dane`, `brit`, `swede`
 - People have unique favorite book genres: `fantasy`, `biography`, `romance`, `mystery`, `science fiction`
 - Everyone has something unique for lunch: `stir fry`, `grilled cheese`, `pizza`, `spaghetti`, `stew`
 - Each person has a favorite color: `red`, `green`, `blue`, `yellow`, `white`
 - The people keep unique animals: `bird`, `dog`, `cat`, `horse`, `fish`

## Clues:
1. The person who loves fantasy books is the Norwegian.
2. The cat lover and the person who loves biography books are next to each other.
3. The German is Bob.
4. The person who loves yellow is Bob.
5. The person whose favorite color is green is Peter.
6. There is one house between the Dane and the person who is a pizza lover.
7. The person who loves blue is somewhere to the left of the Dane.
8. The person who loves eating grilled cheese is somewhere to the left of the Norwegian.
9. The person who loves the spaghetti eater is Peter.
10. The person who keeps horses is Alice.
11. The fish enthusiast is directly left of the person who loves science fiction books.
12. There is one house between the Norwegian and Arnold.
13. The person who loves romance books is the British person.
14. There are two houses between the Norwegian and Alice.
15. The bird keeper is the person whose favorite color is red.
16. The dog owner is directly left of the fish enthusiast.
17. The person who loves the stew is the Norwegian.
",[object Object],2024-07-03T21:21:29.209499
lgp-test-4x4-27,4*4,"There are 4 houses, numbered 1 to 4 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Alice`, `Eric`, `Arnold`, `Peter`
 - Each person has an occupation: `artist`, `engineer`, `teacher`, `doctor`
 - People have unique favorite book genres: `fantasy`, `science fiction`, `mystery`, `romance`
 - People use unique phone models: `google pixel 6`, `iphone 13`, `oneplus 9`, `samsung galaxy s21`

## Clues:
1. The person who is an engineer is directly left of the person who uses a Samsung Galaxy S21.
2. The person who loves fantasy books is in the second house.
3. Alice is not in the second house.
4. Eric is the person who is a teacher.
5. The person who uses a Samsung Galaxy S21 is the person who loves fantasy books.
6. The person who uses an iPhone 13 is the person who loves science fiction books.
7. The person who loves science fiction books is somewhere to the left of the person who uses a OnePlus 9.
8. The person who uses a OnePlus 9 is Arnold.
9. The person who is a doctor is the person who loves mystery books.
10. The person who uses an iPhone 13 is the person who is a teacher.
",[object Object],2024-07-03T21:21:29.207505
lgp-test-6x4-15,6*4,"There are 6 houses, numbered 1 to 6 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Bob`, `Alice`, `Peter`, `Eric`, `Arnold`, `Carol`
 - Each mother is accompanied by their child: `Fred`, `Timothy`, `Samantha`, `Alice`, `Meredith`, `Bella`
 - People have unique favorite music genres: `pop`, `hip hop`, `classical`, `jazz`, `rock`, `country`
 - People have unique heights: `average`, `very tall`, `tall`, `super tall`, `very short`, `short`

## Clues:
1. There is one house between the person's child is named Samantha and the person who is short.
2. The person's child is named Alice is Bob.
3. The person who loves country music is directly left of Arnold.
4. Alice is the person who is tall.
5. The person who loves pop music is Eric.
6. Bob is somewhere to the right of the person who is super tall.
7. The person's child is named Fred is Peter.
8. The person's child is named Bella is the person who loves hip-hop music.
9. The person who is the mother of Timothy is not in the sixth house.
10. The person who is super tall is somewhere to the right of the person who has an average height.
11. The person's child is named Alice is somewhere to the right of Arnold.
12. There is one house between the person who is short and the person who is very short.
13. The person who is very short is in the fifth house.
14. The person who loves jazz music is not in the fifth house.
15. Carol is somewhere to the left of the person who is the mother of Timothy.
16. The person who is very tall is not in the sixth house.
17. The person who loves classical music is in the sixth house.
18. The person who loves rock music is in the first house.
",[object Object],2024-07-03T21:21:29.210360
lgp-test-6x5-2,6*5,"There are 6 houses, numbered 1 to 6 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Bob`, `Arnold`, `Carol`, `Alice`, `Peter`, `Eric`
 - The mothers' names in different houses are unique: `Sarah`, `Janelle`, `Aniya`, `Kailyn`, `Holly`, `Penny`
 - Each mother is accompanied by their child: `Fred`, `Samantha`, `Bella`, `Meredith`, `Alice`, `Timothy`
 - Each person prefers a unique type of vacation: `city`, `mountain`, `camping`, `beach`, `cruise`, `cultural`
 - People have unique favorite book genres: `romance`, `mystery`, `historical fiction`, `science fiction`, `biography`, `fantasy`

## Clues:
1. The person who loves beach vacations is not in the second house.
2. The person who loves fantasy books is somewhere to the left of Peter.
3. The person whose mother's name is Sarah is the person who prefers city breaks.
4. The person who enjoys camping trips is somewhere to the right of Peter.
5. The person who likes going on cruises is the person's child is named Meredith.
6. There is one house between the person who is the mother of Timothy and Eric.
7. The person whose mother's name is Janelle is not in the second house.
8. The person's child is named Fred is somewhere to the left of Eric.
9. The person who goes on cultural tours is in the fourth house.
10. The person whose mother's name is Janelle is not in the first house.
11. The person whose mother's name is Holly is somewhere to the right of the person who loves historical fiction books.
12. The person's child is named Bella is somewhere to the left of Alice.
13. Arnold is somewhere to the right of the person who loves fantasy books.
14. The person who loves mystery books is in the fourth house.
15. The person's child is named Alice is the person who enjoys camping trips.
16. The person whose mother's name is Kailyn is the person who likes going on cruises.
17. There are two houses between the person who loves fantasy books and The person whose mother's name is Aniya.
18. The person who loves fantasy books is Carol.
19. The person who likes going on cruises is the person who loves biography books.
20. The person who loves fantasy books is in the third house.
21. The person whose mother's name is Aniya is the person who loves romance books.
22. The person whose mother's name is Janelle is not in the fourth house.
23. The person's child is named Fred is not in the fourth house.
24. The person who loves biography books is not in the second house.
25. There are two houses between The person whose mother's name is Holly and Eric.
",[object Object],2024-07-03T21:21:29.210554
lgp-test-2x2-33,2*2,"There are 2 houses, numbered 1 to 2 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Eric`, `Arnold`
 - Each person has a unique type of pet: `dog`, `cat`

## Clues:
1. Eric is somewhere to the left of Arnold.
2. The person who owns a dog is not in the first house.
",[object Object],2024-07-03T21:21:29.204640
lgp-test-4x4-3,4*4,"There are 4 houses, numbered 1 to 4 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Eric`, `Arnold`, `Alice`, `Peter`
 - The mothers' names in different houses are unique: `Holly`, `Kailyn`, `Aniya`, `Janelle`
 - Each person has a unique birthday month: `april`, `feb`, `sept`, `jan`
 - Each person lives in a unique style of house: `ranch`, `colonial`, `victorian`, `craftsman`

## Clues:
1. Peter is the person whose birthday is in February.
2. The person whose birthday is in February is not in the fourth house.
3. The person whose birthday is in January is somewhere to the right of the person in a ranch-style home.
4. The person whose birthday is in January is directly left of Eric.
5. The person in a ranch-style home is the person whose birthday is in April.
6. The person whose mother's name is Janelle is the person whose birthday is in September.
7. The person in a ranch-style home and The person whose mother's name is Kailyn are next to each other.
8. Arnold is The person whose mother's name is Holly.
9. The person whose mother's name is Kailyn is directly left of the person residing in a Victorian house.
10. The person whose birthday is in January is the person in a Craftsman-style house.
",[object Object],2024-07-03T21:21:29.207309
lgp-test-2x4-5,2*4,"There are 2 houses, numbered 1 to 2 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Eric`, `Arnold`
 - They all have a unique favorite flower: `carnations`, `daffodils`
 - Each person has a favorite color: `red`, `yellow`
 - People have unique heights: `very short`, `short`

## Clues:
1. The person who loves a bouquet of daffodils is in the first house.
2. The person who is very short is not in the first house.
3. The person whose favorite color is red is in the first house.
4. Eric is not in the second house.
",[object Object],2024-07-03T21:21:29.204895
lgp-test-5x5-30,5*5,"There are 5 houses, numbered 1 to 5 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Alice`, `Peter`, `Bob`, `Eric`, `Arnold`
 - Each person has a unique level of education: `master`, `bachelor`, `doctorate`, `high school`, `associate`
 - Each person has a favorite color: `yellow`, `green`, `blue`, `red`, `white`
 - Each person prefers a unique type of vacation: `mountain`, `camping`, `cruise`, `beach`, `city`
 - People use unique phone models: `huawei p50`, `google pixel 6`, `iphone 13`, `oneplus 9`, `samsung galaxy s21`

## Clues:
1. Alice is the person with a master's degree.
2. The person who uses a OnePlus 9 is the person with a doctorate.
3. The person who loves blue is somewhere to the left of Bob.
4. The person who prefers city breaks is Peter.
5. The person who loves beach vacations is the person whose favorite color is green.
6. The person who loves white is the person who uses an iPhone 13.
7. The person who uses a OnePlus 9 is the person who enjoys mountain retreats.
8. The person who uses a Huawei P50 is somewhere to the left of the person whose favorite color is red.
9. The person who loves beach vacations is not in the first house.
10. Alice is in the fourth house.
11. Eric and Peter are next to each other.
12. Alice is the person whose favorite color is red.
13. There is one house between Peter and the person who uses a OnePlus 9.
14. The person with a bachelor's degree is the person who uses a Samsung Galaxy S21.
15. The person who enjoys camping trips is the person who loves blue.
16. The person who loves beach vacations is the person with a high school diploma.
",[object Object],2024-07-03T21:21:29.209269
lgp-test-3x5-34,3*5,"There are 3 houses, numbered 1 to 3 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Peter`, `Eric`, `Arnold`
 - Each person has a favorite color: `white`, `red`, `yellow`
 - People use unique phone models: `google pixel 6`, `samsung galaxy s21`, `iphone 13`
 - People have unique favorite music genres: `classical`, `rock`, `pop`
 - Each person has a unique level of education: `high school`, `bachelor`, `associate`

## Clues:
1. The person who loves pop music is Peter.
2. Arnold is the person who loves classical music.
3. The person with a bachelor's degree is not in the first house.
4. The person who loves white is in the second house.
5. The person who loves pop music is in the first house.
6. The person who uses a Samsung Galaxy S21 is the person with an associate's degree.
7. The person with a bachelor's degree is the person whose favorite color is red.
8. The person with a high school diploma is the person who uses a Google Pixel 6.
9. The person who uses a Samsung Galaxy S21 is the person who loves rock music.
",[object Object],2024-07-03T21:21:29.206478
lgp-test-4x5-3,4*5,"There are 4 houses, numbered 1 to 4 from left to right, as seen from across the street. Each house is occupied by a different person. Each house has a unique attribute for each of the following characteristics:
 - Each person has a unique name: `Arnold`, `Peter`, `Eric`, `Alice`
 - The mothers' names in different houses are unique: `Holly`, `Kailyn`, `Aniya`, `Janelle`
 - People have unique favorite book genres: `science fiction`, `mystery`, `fantasy`, `romance`
 - Each person has a favorite color: `green`, `red`, `white`, `yellow`
 - Each person prefers a unique type of vacation: `mountain`, `cruise`, `beach`, `city`

## Clues:
1. The person who loves romance books and the person who likes going on cruises are next to each other.
2. Arnold is The person whose mother's name is Janelle.
3. The person who prefers city breaks is the person who loves yellow.
4. The person who loves science fiction books is directly left of Peter.
5. The person who loves science fiction books is somewhere to the left of The person whose mother's name is Kailyn.
6. The person who loves beach vacations is not in the first house.
7. There is one house between Alice and the person who likes going on cruises.
8. The person who loves mystery books is the person who loves white.
9. Peter is the person who prefers city breaks.
10. The person whose favorite color is green is in the third house.
11. The person whose mother's name is Aniya is Peter.
12. The person whose favorite color is green is The person whose mother's name is Janelle.
",[object Object],2024-07-03T21:21:29.207627
